P5
# Median = 96

16 16
255
160	160	179	160	128	96	64	32	0	0	0	0	0	0	0	0	
160	192	192	192	160	128	96	64	32	0	0	0	0	0	0	0	
176	192	224	224	192	160	128	96	64	32	0	0	0	0	0	0	
160	181	224	256	224	192	160	128	96	64	32	0	0	0	0	0	
128	160	192	224	256	224	192	160	128	96	64	32	0	0	0	0	
96	128	160	192	224	256	224	192	160	128	96	64	32	0	0	0	
83	96	128	160	192	224	256	224	192	160	128	96	64	32	0	0	
32	64	96	128	160	192	219	256	216	192	160	128	96	64	32	0	
0	32	64	96	128	160	187	224	256	224	192	160	128	96	64	32	
0	0	36	64	96	128	160	192	224	256	216	192	155	128	96	64	
0	0	0	32	64	96	128	160	192	224	256	224	196	160	128	115	
0	0	0	0	32	64	96	128	160	192	224	256	224	192	160	128	
0	0	0	0	0	32	64	96	128	160	192	224	256	224	192	160	
0	0	0	0	0	0	32	64	96	128	160	192	224	256	224	192	
0	0	0	0	0	0	0	32	64	96	128	160	192	216	256	224	
0	0	0	0	0	0	0	0	51	64	96	128	160	192	224	255	
