160	160	NaN	160	128	96	64	32	0	0	0	0	0	0	NaN	0	0
160	192	192	192	160	128	96	64	32	0	0	0	0	0	0	0	NaN
NaN	192	224	224	NaN	160	128	96	NaN	32	0	0	0	NaN	0	0	0
160	NaN	224	255	224	192	160	128	96	64	32	0	0	0	0	0	56
128	160	NaN	224	255	224	NaN	160	128	96	64	32	0	0	NaN	0	NaN
96	128	160	192	224	255	224	192	160	128	NaN	64	32	0	0	0	0
NaN	96	128	NaN	192	224	255	224	192	160	128	96	64	32	0	0	0
32	64	96	128	160	192	NaN	255	NaN	192	160	128	96	64	32	0	0
0	32	64	96	128	160	NaN	224	255	224	192	160	128	96	64	32	89
0	0	NaN	64	NaN	128	160	192	224	255	NaN	192	NaN	128	96	64	178
0	0	0	32	64	96	128	160	192	224	255	224	NaN	160	128	NaN	190
0	0	0	0	32	64	96	128	160	192	224	255	224	192	160	128	189
0	0	0	0	0	32	64	96	NaN	160	192	224	255	224	192	160	67
0	NaN	0	0	0	0	32	64	96	128	160	192	224	255	224	192	134
0	0	0	0	0	0	0	32	64	96	128	NaN	192	NaN	255	224	234
0	0	0	0	0	0	0	0	NaN	64	96	128	160	192	224	255	123
0	0	0	0	0	0	0	0	245	56	79	167	NaN	200	127	236	150
